Machine,Implement-er,w-w/o backoff,threads,iters,Total task,OW,TAS,TTAS,MCS,OpenMP,Pthread
iST-PC,C++,w,2,400,800,0,281.12,281.177,350.093,350.921,526.266
iST-PC,C++,w,4,200,800,0,284.327,284.304,355.877,358.222,1021.93
iST-PC,C++,w,6,133,800,0,287.292,287.015,357.794,359.372,990.511
iST-PC,C++,w,8,100,800,0,286.901,286.749,354.308,357.885,998.758
