Machine,Implement-er,w-w/o backoff,threads,iters,Total task,OW,TAS,TTAS,MCS,OpenMP,Pthread
iST-PC,C++,w,2,50,100,0,35.8154,35.8295,44.3618,44.4521,105.875
iST-PC,C++,w,2,100,200,0,70.8758,70.8142,88.5285,88.3993,196.71
iST-PC,C++,w,2,200,400,0,141.386,141.158,175.319,175.854,281.229
iST-PC,C++,w,2,400,800,0,281.12,281.177,350.093,350.921,526.266
