Machine,Implement-er,w-w/o backoff,threads,iters,Total task,OW,TAS,TTAS,MCS,OpenMP,Pthread
iST-PC,C++,w,2,100,200,0,70.8758,70.8142,88.5285,88.3993,196.71
iST-PC,C++,w,2,100,400,1,76.6081,76.85,94.311,93.8347,94.7677
iST-PC,C++,w,2,100,600,2,106.325,106.322,137.677,137.446,138.183
iST-PC,C++,w,2,100,800,3,141.583,141.587,181.684,181.1,181.447
