Machine,nodes,iters,OW,Total load,TAS,TTAS,MCS
iST-PC,1,400,0,400,213.898,210.501,208.425
iST-PC,2,200,0,400,319.555,360.674,490.953
iST-PC,4,100,0,400,32397.7,318.837,108958
