threads,TAS,TTAS,MCS,OpenMP,Pthread
2,253.225,242.462,238.266,206.886,266.38
4,244.231,268.129,239.355,230.42,278.259
6,240.859,239.511,229.36,196.125,247.693
8,237.688,238.873,229.013,230.274,248.209
